[epoch 0 iteration 0246]loss 1.517 | overlap 0.119
[epoch 0 iteration 0247]loss 1.475 | overlap 0.128
[epoch 0 iteration 0248]loss 1.513 | overlap 0.153
[epoch 0 iteration 0249]loss 1.502 | overlap 0.150
[epoch 0 iteration 0250]loss 1.507 | overlap 0.141
[epoch 0 iteration 0251]loss 1.539 | overlap 0.147
[epoch 0 iteration 0252]loss 1.500 | overlap 0.153
[epoch 0 iteration 0253]loss 1.548 | overlap 0.125
[epoch 0 iteration 0254]loss 1.487 | overlap 0.203
[epoch 0 iteration 0255]loss 1.454 | overlap 0.194
[epoch 0 iteration 0256]loss 1.530 | overlap 0.134
[epoch 0 iteration 0257]loss 1.544 | overlap 0.128
[epoch 0 iteration 0258]loss 1.511 | overlap 0.159
[epoch 0 iteration 0259]loss 1.444 | overlap 0.159
[epoch 0 iteration 0260]loss 1.475 | overlap 0.194
[epoch 0 iteration 0261]loss 1.498 | overlap 0.156
[epoch 0 iteration 0262]loss 1.544 | overlap 0.147
[epoch 0 iteration 0263]loss 1.502 | overlap 0.166
[epoch 0 iteration 0264]loss 1.503 | overlap 0.163
[epoch 0 iteration 0265]loss 1.527 | overlap 0.119
[epoch 0 iteration 0266]loss 1.486 | overlap 0.156
[epoch 0 iteration 0267]loss 1.511 | overlap 0.147
[epoch 0 iteration 0268]loss 1.525 | overlap 0.125
[epoch 0 iteration 0269]loss 1.519 | overlap 0.137
[epoch 0 iteration 0270]loss 1.480 | overlap 0.244
[epoch 0 iteration 0271]loss 1.519 | overlap 0.131
[epoch 0 iteration 0272]loss 1.536 | overlap 0.137
[epoch 0 iteration 0273]loss 1.528 | overlap 0.144
[epoch 0 iteration 0274]loss 1.533 | overlap 0.134
[epoch 0 iteration 0275]loss 1.492 | overlap 0.203
[epoch 0 iteration 0276]loss 1.545 | overlap 0.150
[epoch 0 iteration 0277]loss 1.495 | overlap 0.172
[epoch 0 iteration 0278]loss 1.510 | overlap 0.163
[epoch 0 iteration 0279]loss 1.555 | overlap 0.134
[epoch 0 iteration 0280]loss 1.470 | overlap 0.216
[epoch 0 iteration 0281]loss 1.535 | overlap 0.125
[epoch 0 iteration 0282]loss 1.485 | overlap 0.209
[epoch 0 iteration 0283]loss 1.472 | overlap 0.222
